port_type,port_name,count
origin,Portland (Oregon),7
origin,"Picton, N.S.",7
origin,Calmar-props,7
origin,"Gefle-deals, battens",7
origin,Dordt-wood hoops,7
origin,Pensacola-pitch pine,7
origin,Barahona,7
origin,Ny Carleby,7
origin,Binic,7
origin,Forsgrund,7
origin,Curacoa,7
origin,Bunbury,7
origin,Barcelona,7
origin,Cardenas,7
origin,Fredrickstad,7
origin,Portland Me.,7
origin,Santa Ana-mahogany,7
origin,"Africa, W.C.",7
origin,Monsteras-props,7
origin,Oscarsham-pit props,7
origin,Noya,7
origin,Xiania,7
origin,"St. John, N. B.",6
origin,Bordeaux 900 lds. pitwood,6
origin,Dansig,6
origin,Memel-timber,6
origin,Kalajoki,6
origin,Nassau,6
origin,"St John, N.B.",6
origin,"Pugwash, N.S.",6
origin,Vlaardingen,6
origin,Tunas de Zaza,6
origin,Newfairwater,6
origin,Esbjerg,6
origin,Manzanillo,6
origin,Quebec-pine deals,6
origin,Narva-battens,6
origin,Rafeo,6
origin,Alvik,6
origin,Cadiz,6
origin,Papenburg,6
origin,"Hillsboro', N.B.",6
origin,"Stockholm-deals, &c.",6
origin,Bjorneborg-firewood,6
origin,"Holmsund-deals, &c.",6
origin,"Bathurst-deals, &c.",6
origin,"Danzig-sleepers, &c.",6
origin,"Pugwash-deals, &c.",6
origin,Catania,6
origin,Oskarshamn,6
origin,Risby,6
origin,Gefle-deals & battens,6
origin,"Halifax-deals, &c.",6
origin,Cherbourg,6
origin,Old Harbour,6
origin,Risoer-qty. pit props,6
origin,Norrtelge,6
origin,Bollsta Bruk,6
origin,Frederiksvoern,6
origin,"Sapelo, Ga.",6
origin,Nacka,6
origin,"Iggesund-deals, &c.",6
origin,Grimsby,6
origin,Charlestown,6
origin,Sandswall,6
origin,Jersey,6
origin,Glasgow,6
origin,Tonala-mahogany,6
origin,Fredriksbald,6
origin,Bjorknas,6
origin,Freijo,6
origin,Karlstad,6
origin,Moss-pit props,6
origin,Holmestrand-props,6
origin,Galway,6
origin,Annapolis,6
origin,Fritzoe,6
origin,Stettin-oak,6
origin,"Weymouth, N.S.",6
origin,"Mobile, Ala.",6
origin,Legue,6
origin,Christianople,6
origin,Southampton,6
origin,Kalmar-props,6
