form,dest,n,share_of_form,lift
firewood,Liverpool,290,0.034,0.25
battens,Swansea,68,0.003,0.24
boards,Grangemouth,113,0.007,0.24
pit props,Liverpool,606,0.03,0.23
battens,Greenock,51,0.003,0.21
battens,Glasgow,145,0.007,0.21
pit props,Leith,117,0.006,0.21
deals,Borrowstounness,122,0.003,0.19
staves,Sunderland,58,0.004,0.19
pit props,Glasgow,91,0.004,0.13
pit props,London,208,0.01,0.07
pitwood,London,56,0.007,0.04
