origin,destination,year,shipments
Klaipeda,London,1881,30
New York,Bristol,1887,30
New York,Hull,1885,30
New York,Hull,1891,30
Quebec City,Liverpool,1889,30
Riga,Grimsby,1887,30
Riga,Hartlepool (West),1889,30
Riga,Leith,1895,30
Soderhamn,London,1885,30
St. John,Liverpool,1899,30
St. Petersburg,London,1883,30
Sundswall,London,1887,30
Ventspils,Borrowstounness,1897,30
A Coruña,Cardiff,1887,29
Arendal,Tyne Ports,1899,29
Bayonne,Cardiff,1889,29
Bergkvara,Hartlepool (West),1895,29
Boston,London,1891,29
Christiania,Hull,1881,29
Christiansand,Borrowstounness,1877,29
Christiansand,Borrowstounness,1885,29
Cronstadt,Leith,1875,29
Danzig,Grimsby,1897,29
Danzig,London,1899,29
Drammen,London,1881,29
Fredrikstad,Liverpool,1897,29
Gothenburg,Liverpool,1895,29
Hamburg,Hull,1891,29
Klaipeda,Hartlepool (West),1883,29
Klaipeda,London,1875,29
Montreal,London,1895,29
New York,Bristol,1897,29
New York,London,1875,29
New York,MANCHESTER,1899,29
Quebec City,Glasgow,1874,29
Quebec City,Liverpool,1891,29
Quebec City,London,1881,29
Redon,Cardiff,1899,29
Riga,Borrowstounness,1877,29
Riga,Hartlepool (West),1885,29
Riga,Tyne Ports,1887,29
Soderhamn,London,1874,29
St. John,Liverpool,1893,29
Stettin,Hartlepool (West),1883,29
Stockholm,London,1899,29
Sundswall,Hull,1895,29
Trondheim,Hull,1895,29
Wyborg,Hull,1874,29
Archangel,Hull,1895,28
Auray,Cardiff,1885,28
Baltimore,Liverpool,1899,28
Baltimore,London,1899,28
Boston,Glasgow,1885,28
Christiania,Sunderland,1881,28
Cronstadt,Grangemouth,1881,28
Danzig,Hartlepool (West),1875,28
Danzig,Hull,1881,28
Dieppe,NEWHAVEN,1891,28
Dordrecht,Tyne Ports,1885,28
Gothenburg,Alloa,1895,28
Laurvig,Newcastle upon Tyne,1879,28
Montreal,Bristol,1897,28
Montreal,London,1893,28
New York,Hull,1897,28
Norfolk,Liverpool,1887,28
Oscarshamn,Hartlepool (West),1883,28
Pauillac,Swansea,1899,28
Pensacola,London,1883,28
Philadelphia,Liverpool,1887,28
Porsgrund,Hartlepool (West),1889,28
Riga,Hull,1875,28
Riga,Leith,1881,28
Riga,Liverpool,1889,28
Riga,Liverpool,1899,28
Rotterdam,Belfast,1893,28
Rotterdam,Tyne Ports,1897,28
Auray,Cardiff,1881,27
Boston,London,1895,27
Christiania,Borrowstounness,1875,27
Christiania,Tyne Ports,1895,27
Cronstadt,Grangemouth,1899,27
Danzig,Grimsby,1883,27
Danzig,Hartlepool (West),1874,27
Falkenberg,Alloa,1885,27
Fremantle,London,1899,27
Gefle,London,1889,27
Gothenburg,Glasgow,1887,27
Gothenburg,Granton,1895,27
Gothenburg,Liverpool,1889,27
Halden,Borrowstounness,1885,27
Hennebont,Newport,1891,27
Holmestrand,Sunderland,1883,27
Kalmar,Hartlepool (West),1887,27
Kalmar,Hartlepool (West),1893,27
Klaipeda,Hartlepool (West),1875,27
Miramichi,Belfast,1889,27
Morlaix,Swansea,1881,27
New York,Hull,1899,27
Pensacola,Greenock,1881,27
Pensacola,Liverpool,1877,27
Pensacola,Liverpool,1887,27
Portland,Liverpool,1899,27
Redon,Swansea,1881,27
Riga,Alloa,1879,27
Riga,Grimsby,1899,27
Riga,Hartlepool (West),1895,27
Riga,Leith,1893,27
Rotterdam,Tyne Ports,1887,27
Soderhamn,London,1887,27
St. John,Liverpool,1885,27
St. Petersburg,London,1899,27
Stettin,Hull,1891,27
Stockholm,Hull,1885,27
Uleaborg,London,1879,27
Vannes,Cardiff,1883,27
Vilagarcía de Arousa,Cardiff,1891,27
Auray,Cardiff,1879,26
Auray,Newport,1897,26
Baltimore,Glasgow,1899,26
Baltimore,London,1893,26
Boston,London,1885,26
Christiania,Hull,1874,26
Danzig,Grimsby,1891,26
Dieppe,NEWHAVEN,1881,26
Falkenberg,Borrowstounness,1879,26
Fredrikstad,Liverpool,1883,26
Gefle,London,1893,26
Gefle,London,1895,26
Gothenburg,Alloa,1889,26
Gothenburg,Granton,1893,26
Gothenburg,Liverpool,1883,26
Halmstad,Hartlepool (West),1893,26
Hernosand,Hartlepool (West),1893,26
Klaipeda,London,1891,26
Klaipeda,Newcastle upon Tyne,1877,26
Kotka,London,1879,26
