origin,commodity_form,year,shipments
Antwerp,rickers,1874,1
Antwerp,sleepers,1889,1
Antwerp,sleepers,1892,1
Antwerp,sleepers,1898,1
Antwerp,spars,1887,1
Antwerp,splits,1891,1
Antwerp,spoolwood,1899,1
Antwerp,staves,1881,1
Antwerp,timber,1881,1
Antwerp,timber,1895,1
Antwerp,wood,1878,1
Antwerp,wood,1883,1
Antwerp,wood pulp,1877,1
Antwerp,wood pulp,1892,1
Apalachicola,balks,1893,1
Apalachicola,battens,1897,1
Apalachicola,boards,1889,1
Apalachicola,boards,1895,1
Apalachicola,boards,1899,1
Apalachicola,deals,1881,1
Apalachicola,ends,1885,1
Apalachicola,ends,1891,1
Apalachicola,flooring,1891,1
Apalachicola,laths,1893,1
Apalachicola,lathwood,1897,1
Apalachicola,logs,1887,1
Apalachicola,logs,1891,1
Apalachicola,logs,1899,1
Apalachicola,lumber,1885,1
Apalachicola,lumber,1897,1
Apalachicola,lumber,1899,1
Apalachicola,pit props,1885,1
Apalachicola,planks,1897,1
Apalachicola,poles,1893,1
Apalachicola,sleepers,1885,1
Apalachicola,sleepers,1897,1
Apalachicola,staves,1885,1
Apalachicola,staves,1893,1
Apalachicola,timber,1881,1
Apalachicola,timber,1889,1
Apalachicola,wood,1885,1
Arcachon,pit props,1883,1
Arcachon,pit props,1887,1
Arcachon,pit props,1890,1
Arcachon,pit props,1891,1
Arcachon,pit props,1896,1
Arcachon,pitwood,1882,1
Arcachon,pitwood,1884,1
Arcachon,pitwood,1888,1
Arcachon,pitwood,1898,1
Arcachon,wood,1895,1
Arcachon,wood,1897,1
Archangel,batten ends,1883,1
Archangel,batten ends,1887,1
Archangel,battens,1882,1
Archangel,blocks,1883,1
Archangel,blocks,1897,1
Archangel,boards,1882,1
Archangel,deal ends,1877,1
Archangel,deal ends,1891,1
Archangel,deals,1882,1
Archangel,deals,1900,1
Archangel,firewood,1877,1
Archangel,flooring,1877,1
Archangel,handles,1889,1
Archangel,handles,1899,1
Archangel,hoops,1885,1
Archangel,laths,1875,1
Archangel,laths,1893,1
Archangel,laths,1895,1
Archangel,lathwood,1874,1
Archangel,lathwood,1875,1
Archangel,mining timber,1891,1
Archangel,mining timber,1895,1
Archangel,oars,1881,1
Archangel,oars,1882,1
Archangel,oars,1891,1
Archangel,palings,1881,1
Archangel,pit props,1874,1
Archangel,pit props,1877,1
Archangel,pit props,1887,1
Archangel,pit props,1893,1
Archangel,pit props,1895,1
Archangel,pitwood,1895,1
Archangel,poles,1883,1
Archangel,poles,1891,1
Archangel,poles,1899,1
Archangel,rickers,1875,1
Archangel,rickers,1887,1
Archangel,rickers,1893,1
Archangel,scantlings,1877,1
Archangel,scantlings,1891,1
Archangel,scantlings,1893,1
Archangel,sleepers,1874,1
Archangel,sleepers,1875,1
Archangel,sleepers,1879,1
Archangel,sleepers,1881,1
Archangel,sleepers,1885,1
Archangel,sleepers,1895,1
Archangel,spars,1879,1
Archangel,spars,1899,1
Archangel,squares,1893,1
Archangel,staves,1875,1
Archangel,staves,1877,1
Archangel,staves,1885,1
Archangel,staves,1898,1
Archangel,timber,1895,1
Archangel,timber,1899,1
Archangel,wood,1875,1
Archangel,wood,1881,1
Archangel,wood,1885,1
Archangel,wood,1887,1
Archangel,wood,1895,1
Archangel,wood,1899,1
Archangel,woodware,1875,1
Arendal,balks,1881,1
Arendal,battens,1884,1
Arendal,battens,1898,1
Arendal,boards,1890,1
Arendal,bobbins,1881,1
Arendal,crowntrees,1875,1
Arendal,crowntrees,1879,1
Arendal,crowntrees,1881,1
Arendal,crowntrees,1899,1
Arendal,deal ends,1875,1
Arendal,deal ends,1891,1
Arendal,doors,1899,1
Arendal,ends,1887,1
Arendal,ends,1891,1
Arendal,firewood,1875,1
Arendal,firewood,1884,1
Arendal,firewood,1898,1
Arendal,flooring,1879,1
Arendal,headings,1883,1
Arendal,hoops,1883,1
Arendal,laths,1877,1
Arendal,lathwood,1875,1
Arendal,lathwood,1899,1
Arendal,mining timber,1882,1
Arendal,mining timber,1884,1
Arendal,mining timber,1892,1
Arendal,oars,1885,1
Arendal,oars,1887,1
Arendal,pit props,1892,1
Arendal,pitwood,1886,1
Arendal,poles,1874,1
Arendal,poles,1887,1
Arendal,poles,1899,1
Arendal,rickers,1879,1
Arendal,rickers,1880,1
Arendal,rickers,1885,1
Arendal,rickers,1889,1
Arendal,scantlings,1881,1
Arendal,scantlings,1883,1
Arendal,scantlings,1889,1
Arendal,scantlings,1895,1
Arendal,scantlings,1899,1
Arendal,sleepers,1881,1
Arendal,sleepers,1884,1
Arendal,sleepers,1899,1
Arendal,spars,1875,1
Arendal,spars,1885,1
Arendal,spars,1887,1
Arendal,spars,1897,1
Arendal,spars,1899,1
Arendal,splits,1883,1
Arendal,splits,1899,1
Arendal,squares,1885,1
Arendal,squares,1895,1
Arendal,staves,1883,1
Arendal,staves,1885,1
Arendal,staves,1891,1
Arendal,staves,1895,1
Arendal,wood,1882,1
Arendal,wood,1893,1
Arendal,wood,1897,1
Arendal,wood pulp,1882,1
Asbacka,battens,1885,1
Asbacka,battens,1889,1
Asbacka,battens,1891,1
Asbacka,battens,1899,1
Asbacka,boards,1879,1
Asbacka,boards,1885,1
Asbacka,boards,1891,1
Asbacka,boards,1899,1
Asbacka,deals,1875,1
Asbacka,deals,1885,1
Asbacka,deals,1891,1
Asbacka,firewood,1881,1
Asbacka,firewood,1885,1
Asbacka,firewood,1887,1
Asbacka,timber,1875,1
Astoria,firewood,1889,1
Astoria,lumber,1877,1
Astoria,lumber,1893,1
Astoria,scantlings,1887,1
Attu,balks,1891,1
Attu,balks,1895,1
Attu,balks,1899,1
Attu,battens,1889,1
Attu,battens,1895,1
Attu,battens,1899,1
Attu,boards,1875,1
Attu,boards,1879,1
Attu,boards,1893,1
Attu,boards,1897,1
Attu,deals,1875,1
Attu,deals,1897,1
Attu,firewood,1881,1
Attu,firewood,1883,1
Attu,firewood,1891,1
Attu,firewood,1895,1
Attu,firewood,1897,1
Attu,firewood,1899,1
Attu,scantlings,1881,1
Attu,scantlings,1893,1
Audierne,pitwood,1877,1
Audierne,pitwood,1891,1
Audierne,pitwood,1895,1
Auray,battens,1897,1
Auray,deals,1897,1
Auray,pit props,1882,1
Auray,pit props,1883,1
Auray,pit props,1885,1
Auray,pit props,1890,1
Auray,pit props,1895,1
Auray,pit props,1898,1
Auray,pitwood,1888,1
Auray,pitwood,1892,1
Auray,pitwood,1898,1
Auray,pitwood,1900,1
Auray,wood,1877,1
Auray,wood,1889,1
Auray,wood,1899,1
Axmar,battens,1879,1
Axmar,boards,1874,1
Axmar,deals,1874,1
Axmar,deals,1875,1
Axmar,deals,1879,1
Ayr,deal ends,1893,1
Ayr,deals,1893,1
Ayr,squares,1893,1
Bahia,logs,1875,1
Bahia,logs,1893,1
Bahia,logs,1899,1
Bahia,planks,1877,1
Bahia,wood,1874,1
Bahia,wood,1875,1
Bahia,wood,1893,1
Baie Verte,battens,1881,1
Baie Verte,boards,1889,1
Baie Verte,boards,1895,1
Baie Verte,deal ends,1875,1
Baie Verte,deal ends,1886,1
Baie Verte,deal ends,1897,1
Baie Verte,deals,1875,1
Baie Verte,deals,1886,1
Baie Verte,ends,1881,1
Baie Verte,laths,1887,1
Baie Verte,logs,1889,1
Baie Verte,mouldings,1889,1
Baie Verte,palings,1887,1
Baie Verte,planks,1895,1
Baie Verte,scantlings,1881,1
Baie Verte,scantlings,1897,1
Baie Verte,scantlings,1899,1
Baie Verte,spars,1899,1
Baie Verte,staves,1885,1
Baie Verte,timber,1889,1
Baie Verte,wood,1895,1
Baltimore,battens,1874,1
Baltimore,battens,1885,1
Baltimore,blocks,1875,1
Baltimore,blocks,1888,1
Baltimore,blocks,1891,1
Baltimore,blocks,1893,1
Baltimore,blocks,1895,1
Baltimore,boards,1877,1
Baltimore,boards,1888,1
Baltimore,boards,1892,1
Baltimore,boards,1896,1
Baltimore,bobbins,1887,1
Baltimore,boxboards,1892,1
Baltimore,deal ends,1887,1
Baltimore,deal ends,1893,1
Baltimore,doors,1887,1
Baltimore,ends,1883,1
Baltimore,ends,1891,1
Baltimore,ends,1899,1
Baltimore,handles,1888,1
Baltimore,handles,1893,1
Baltimore,handles,1895,1
Baltimore,headings,1881,1
Baltimore,headings,1887,1
Baltimore,headings,1897,1
Baltimore,headings,1898,1
Baltimore,hoops,1887,1
Baltimore,hoops,1889,1
Baltimore,hoops,1891,1
Baltimore,hoops,1897,1
Baltimore,laths,1887,1
Baltimore,laths,1888,1
Baltimore,laths,1897,1
Baltimore,lathwood,1899,1
Baltimore,logs,1874,1
Baltimore,logs,1877,1
Baltimore,logs,1884,1
Baltimore,logs,1886,1
Baltimore,lumber,1881,1
Baltimore,lumber,1884,1
Baltimore,oars,1897,1
Baltimore,palings,1874,1
Baltimore,palings,1877,1
Baltimore,palings,1885,1
Baltimore,pit props,1874,1
Baltimore,pit props,1880,1
Baltimore,pit props,1887,1
Baltimore,pit props,1895,1
Baltimore,planks,1886,1
Baltimore,planks,1890,1
Baltimore,planks,1896,1
Baltimore,poles,1893,1
Baltimore,poles,1895,1
Baltimore,poles,1896,1
Baltimore,poles,1897,1
Baltimore,poles,1898,1
Baltimore,poles,1900,1
Baltimore,scantlings,1881,1
Baltimore,scantlings,1889,1
Baltimore,shooks,1881,1
Baltimore,shooks,1883,1
Baltimore,shooks,1889,1
Baltimore,spars,1874,1
Baltimore,spars,1883,1
Baltimore,spars,1888,1
Baltimore,spars,1889,1
Baltimore,spars,1891,1
Baltimore,spars,1899,1
Baltimore,splints,1893,1
Baltimore,splits,1899,1
Baltimore,spokes,1883,1
Baltimore,spokes,1890,1
Baltimore,spokes,1892,1
Baltimore,spokes,1893,1
Baltimore,spokes,1896,1
Baltimore,spokes,1899,1
Baltimore,squares,1883,1
Baltimore,squares,1892,1
Baltimore,squares,1896,1
Baltimore,squares,1900,1
Baltimore,staves,1879,1
Baltimore,staves,1880,1
Baltimore,staves,1886,1
Baltimore,timber,1875,1
Baltimore,timber,1877,1
Baltimore,timber,1880,1
Baltimore,timber,1883,1
Baltimore,timber,1900,1
Baltimore,treenails,1889,1
Baltimore,wood,1874,1
Baltimore,wood,1875,1
Baltimore,wood,1880,1
Baltimore,wood,1883,1
Baltimore,wood,1892,1
Baltimore,wood,1893,1
Baltimore,wood,1898,1
Baltimore,wood pulp,1899,1
Baltimore,woodware,1887,1
Baltimore,woodware,1890,1
Baltimore,woodware,1897,1
Bangkok,deals,1891,1
Bangkok,deals,1897,1
Bangkok,ends,1881,1
Bangkok,ends,1883,1
Bangkok,ends,1889,1
Bangkok,ends,1895,1
Bangkok,logs,1881,1
Bangkok,logs,1895,1
Bangkok,logs,1898,1
Bangkok,planks,1881,1
Bangkok,planks,1884,1
Bangkok,planks,1893,1
Bangkok,planks,1898,1
Bangkok,planks,1900,1
Bangkok,sleepers,1883,1
Bangkok,squares,1883,1
Bangkok,squares,1884,1
Bangkok,squares,1898,1
Bangkok,squares,1900,1
Bangkok,timber,1887,1
Bangkok,timber,1897,1
Bangkok,wood,1883,1
Bangkok,wood,1887,1
Bangkok,wood,1895,1
Bangkok,woodware,1895,1
Barnstaple,pitwood,1877,1
Barnstaple,timber,1877,1
Barnstaple,timber,1881,1
Barrow-in-Furness,deals,1883,1
Barrow-in-Furness,deals,1891,1
Barrow-in-Furness,ends,1891,1
Bath,boards,1877,1
Bath,deal ends,1875,1
Bath,timber,1877,1
Bathurst,battens,1881,1
Bathurst,battens,1883,1
Bathurst,battens,1891,1
Bathurst,battens,1897,1
Bathurst,boards,1879,1
Bathurst,boards,1885,1
Bathurst,boards,1887,1
Bathurst,boards,1893,1
Bathurst,boards,1895,1
Bathurst,boards,1899,1
Bathurst,boathooks,1887,1
Bathurst,deal ends,1885,1
Bathurst,deal ends,1897,1
Bathurst,deal ends,1899,1
Bathurst,ends,1874,1
Bathurst,ends,1897,1
Bathurst,ends,1899,1
Bathurst,firewood,1881,1
Bathurst,laths,1883,1
Bathurst,laths,1885,1
Bathurst,laths,1887,1
Bathurst,logs,1875,1
Bathurst,logs,1895,1
Bathurst,logs,1899,1
Bathurst,palings,1874,1
Bathurst,palings,1885,1
Bathurst,palings,1889,1
Bathurst,planks,1899,1
Bathurst,poles,1887,1
Bathurst,scantlings,1891,1
Bathurst,scantlings,1897,1
Bathurst,sleepers,1881,1
Bathurst,squares,1893,1
Bathurst,squares,1895,1
Bathurst,timber,1874,1
Bathurst,timber,1883,1
Bathurst,timber,1895,1
Bathurst,timber,1897,1
Batiscan,battens,1899,1
Batiscan,boards,1899,1
Batiscan,deal ends,1881,1
Batiscan,deal ends,1883,1
Batiscan,deal ends,1885,1
Batiscan,deals,1881,1
Batiscan,deals,1883,1
Batiscan,deals,1885,1
Batiscan,deals,1889,1
Batiscan,deals,1891,1
Batiscan,deals,1893,1
Batiscan,ends,1897,1
Batiscan,palings,1881,1
Batiscan,staves,1891,1
Batvik,battens,1881,1
Batvik,battens,1883,1
Batvik,battens,1885,1
Batvik,battens,1889,1
Batvik,boards,1883,1
Batvik,deals,1881,1
Batvik,deals,1889,1
Batvik,ends,1885,1
Batvik,firewood,1881,1
Batvik,firewood,1883,1
Batvik,sleepers,1883,1
Batvik,spars,1885,1
Bayonne,boards,1884,1
Bayonne,boards,1893,1
Bayonne,deals,1884,1
Bayonne,firewood,1895,1
Bayonne,pit props,1879,1
Bayonne,pit props,1896,1
Bayonne,pitwood,1877,1
Bayonne,pitwood,1878,1
Bayonne,pitwood,1880,1
Bayonne,planks,1889,1
Bayonne,sleepers,1883,1
Bayonne,sleepers,1885,1
Bayonne,sleepers,1897,1
Bayonne,timber,1877,1
Bayonne,wood,1886,1
Belfast,deals,1881,1
Belfast,deals,1893,1
Belfast,ends,1881,1
Belfast,ends,1893,1
Belfast,pitwood,1893,1
Belfast,scantlings,1881,1
Belize,ends,1874,1
Belize,ends,1875,1
Belize,ends,1877,1
Belize,ends,1880,1
Belize,ends,1887,1
Belize,ends,1890,1
Belize,ends,1900,1
Belize,hoops,1874,1
Belize,logs,1874,1
Belize,logs,1880,1
Belize,logs,1887,1
Belize,logs,1890,1
Belize,logs,1900,1
Belize,lumber,1897,1
Belize,lumber,1899,1
Belize,pit props,1895,1
Belize,staves,1893,1
Belize,staves,1897,1
Belize,timber,1874,1
Belize,treenails,1875,1
Belize,wood,1881,1
Belize,wood,1897,1
Bergen,battens,1899,1
Bergen,boards,1893,1
Bergen,deals,1881,1
Bergen,deals,1889,1
Bergen,firewood,1893,1
Bergen,hoops,1887,1
Bergen,lathwood,1893,1
Bergen,mouldings,1891,1
Bergen,palings,1895,1
Bergen,pit props,1889,1
Bergen,pit props,1893,1
Bergen,pit props,1899,1
Bergen,poles,1897,1
Bergen,staves,1885,1
Bergen,staves,1887,1
Bergen,staves,1889,1
Bergen,wood,1891,1
Bergen,wood,1899,1
Bergen,wood,1900,1
Bergen,wood pulp,1900,1
Bergkvara,balks,1895,1
Bergkvara,battens,1885,1
Bergkvara,boards,1885,1
Bergkvara,boards,1891,1
Bergkvara,boards,1893,1
Bergkvara,deals,1885,1
Bergkvara,deals,1893,1
Bergkvara,deals,1895,1
Bergkvara,ends,1885,1
Bergkvara,firewood,1899,1
Bergkvara,flooring,1893,1
Bergkvara,laths,1899,1
Bergkvara,lathwood,1893,1
Bergkvara,logs,1889,1
Bergkvara,mining timber,1891,1
Bergkvara,pit props,1879,1
Bergkvara,pit props,1898,1
Bergkvara,pitwood,1899,1
Bergkvara,poles,1893,1
Bergkvara,poles,1895,1
Bergkvara,poles,1899,1
Bergkvara,sleepers,1893,1
Bergkvara,squares,1877,1
Bergkvara,squares,1889,1
Bergkvara,timber,1877,1
Bergkvara,timber,1889,1
Bergkvara,timber,1893,1
Bergkvara,timber,1895,1
Bergkvara,wood,1899,1
Bersimis,battens,1883,1
Bersimis,battens,1889,1
Bersimis,boards,1889,1
Bersimis,boards,1891,1
Bersimis,deal ends,1881,1
Bersimis,deal ends,1883,1
Bersimis,deals,1877,1
Bersimis,ends,1881,1
Bersimis,ends,1889,1
Bersimis,ends,1893,1
Bersimis,firewood,1883,1
Bersimis,scantlings,1883,1
Bersimis,scantlings,1889,1
Bideford,pitwood,1877,1
Bilbao,pit props,1899,1
Bilbao,pitwood,1881,1
Bilbao,pitwood,1889,1
Bilbao,pitwood,1891,1
Bilbao,pitwood,1895,1
Bilbao,pitwood,1897,1
Bilbao,pitwood,1898,1
Bilbao,sleepers,1899,1
Bilbao,staves,1893,1
Bjorneborg,batten ends,1883,1
Bjorneborg,blocks,1899,1
Bjorneborg,boxboards,1899,1
Bjorneborg,deal ends,1874,1
Bjorneborg,deal ends,1889,1
Bjorneborg,ends,1875,1
Bjorneborg,ends,1877,1
Bjorneborg,ends,1897,1
Bjorneborg,ends,1899,1
Bjorneborg,firewood,1877,1
Bjorneborg,firewood,1899,1
Bjorneborg,handles,1885,1
Bjorneborg,handles,1889,1
Bjorneborg,hoops,1889,1
Bjorneborg,hoops,1891,1
Bjorneborg,laths,1877,1
Bjorneborg,laths,1883,1
Bjorneborg,laths,1887,1
Bjorneborg,laths,1889,1
Bjorneborg,lathwood,1895,1
Bjorneborg,logs,1885,1
Bjorneborg,mining timber,1877,1
Bjorneborg,mining timber,1881,1
Bjorneborg,pit props,1881,1
Bjorneborg,pit props,1884,1
Bjorneborg,pit props,1889,1
Bjorneborg,pitwood,1899,1
Bjorneborg,planks,1879,1
Bjorneborg,poles,1881,1
Bjorneborg,scantlings,1887,1
Bjorneborg,sleepers,1874,1
Bjorneborg,sleepers,1883,1
Bjorneborg,sleepers,1891,1
Bjorneborg,spars,1881,1
Bjorneborg,spars,1885,1
Bjorneborg,splits,1883,1
Bjorneborg,timber,1875,1
Bjorneborg,trellis,1889,1
Bjorneborg,wood,1887,1
Bjorneborg,wood,1893,1
Bjorneborg,wood,1899,1
Blankaholm,battens,1895,1
Blankaholm,battens,1897,1
Blankaholm,battens,1899,1
Blankaholm,boards,1893,1
Blankaholm,deals,1889,1
Blankaholm,deals,1893,1
Blankaholm,deals,1899,1
Blankaholm,handles,1895,1
Blankaholm,laths,1891,1
Blankaholm,laths,1895,1
Blankaholm,laths,1899,1
Blankaholm,staves,1895,1
Blankaholm,staves,1899,1
Blaye,boards,1887,1
Blaye,crowntrees,1887,1
Blaye,firewood,1887,1
Blaye,pit props,1887,1
Blaye,pitwood,1892,1
Blaye,pitwood,1897,1
Blaye,pitwood,1898,1
Blaye,pitwood,1900,1
Blyth,pitwood,1897,1
Bollsta,battens,1875,1
Bollsta,deal ends,1874,1
Bollsta,deals,1874,1
Bollsta,deals,1887,1
Bollsta,deals,1889,1
Bollsta,deals,1893,1
Bollsta,deals,1895,1
Bollsta,ends,1881,1
Bollsta,firewood,1874,1
Bollsta,firewood,1887,1
Bollsta,firewood,1893,1
Bollsta,firewood,1899,1
Bollsta,laths,1874,1
Bollsta,rickers,1874,1
Bollsta,spars,1874,1
Bollsta,spars,1881,1
Bollsta,spars,1883,1
Bollsta,staves,1899,1
Bolton,planks,1897,1
Bombay,scantlings,1885,1
Bombay,wood,1889,1
Bombay,wood,1891,1
Bombay,wood,1899,1
Bordeaux,battens,1881,1
Bordeaux,battens,1895,1
Bordeaux,boards,1885,1
Bordeaux,boards,1893,1
Bordeaux,boards,1897,1
Bordeaux,boards,1899,1
Bordeaux,deal ends,1887,1
Bordeaux,deal ends,1891,1
Bordeaux,deals,1875,1
Bordeaux,deals,1883,1
Bordeaux,deals,1887,1
Bordeaux,deals,1889,1
Bordeaux,deals,1897,1
Bordeaux,doors,1891,1
Bordeaux,doors,1897,1
Bordeaux,ends,1883,1
Bordeaux,ends,1885,1
Bordeaux,ends,1889,1
Bordeaux,ends,1891,1
Bordeaux,ends,1893,1
Bordeaux,firewood,1881,1
Bordeaux,firewood,1887,1
Bordeaux,gun stocks,1891,1
Bordeaux,handles,1885,1
Bordeaux,hoops,1888,1
Bordeaux,hoops,1890,1
Bordeaux,hoops,1892,1
Bordeaux,hoops,1896,1
Bordeaux,hoops,1899,1
Bordeaux,laths,1893,1
Bordeaux,lathwood,1881,1
Bordeaux,logs,1897,1
Bordeaux,logs,1899,1
Bordeaux,mining timber,1879,1
Bordeaux,mining timber,1883,1
Bordeaux,mining timber,1889,1
Bordeaux,mining timber,1891,1
Bordeaux,mouldings,1891,1
Bordeaux,oars,1883,1
Bordeaux,pit props,1878,1
Bordeaux,pit props,1892,1
Bordeaux,pit props,1896,1
Bordeaux,planks,1889,1
Bordeaux,planks,1891,1
Bordeaux,planks,1893,1
Bordeaux,poles,1885,1
Bordeaux,scantlings,1891,1
Bordeaux,sleepers,1880,1
Bordeaux,sleepers,1881,1
Bordeaux,sleepers,1884,1
Bordeaux,sleepers,1897,1
Bordeaux,spars,1885,1
Bordeaux,spars,1895,1
Bordeaux,splits,1893,1
Bordeaux,splits,1895,1
Bordeaux,staves,1874,1
Bordeaux,staves,1885,1
Bordeaux,staves,1890,1
Bordeaux,staves,1893,1
Bordeaux,timber,1875,1
Bordeaux,timber,1899,1
Bordeaux,wood,1874,1
Bordeaux,wood,1877,1
Bordeaux,wood,1886,1
Bordeaux,wood,1892,1
Bordeaux,wood,1896,1
Borga,battens,1879,1
Borga,boards,1881,1
Borga,boards,1887,1
Borga,deals,1875,1
Borga,firewood,1879,1
Borga,firewood,1881,1
Borga,firewood,1897,1
Borga,logs,1882,1
Borga,pit props,1874,1
Borga,pit props,1881,1
Borga,pit props,1891,1
Borga,pit props,1895,1
Borga,sleepers,1877,1
Borga,sleepers,1882,1
Borga,splits,1885,1
Borga,spoolwood,1889,1
Borga,staves,1893,1
Borga,staves,1899,1
Borga,timber,1877,1
Borga,timber,1882,1
Borga,wood,1885,1
Borga,wood,1887,1
Boston,battens,1883,1
Boston,battens,1893,1
Boston,battens,1895,1
Boston,battens,1897,1
Boston,battens,1899,1
Boston,blocks,1883,1
Boston,blocks,1885,1
Boston,blocks,1893,1
Boston,blocks,1895,1
Boston,boards,1888,1
Boston,boards,1900,1
Boston,bobbins,1890,1
Boston,bobbins,1895,1
Boston,boxboards,1889,1
Boston,boxboards,1891,1
Boston,boxboards,1897,1
Boston,deal ends,1883,1
Boston,deal ends,1889,1
Boston,deal ends,1893,1
Boston,deals,1881,1
Boston,deals,1885,1
Boston,doors,1882,1
Boston,doors,1887,1
Boston,doors,1895,1
Boston,doors,1896,1
Boston,ends,1883,1
Boston,ends,1885,1
Boston,ends,1887,1
Boston,ends,1891,1
Boston,firewood,1881,1
Boston,firewood,1883,1
Boston,firewood,1891,1
Boston,flooring,1887,1
Boston,flooring,1895,1
Boston,handles,1886,1
Boston,handles,1897,1
Boston,headings,1891,1
Boston,headings,1900,1
Boston,hoops,1886,1
Boston,hoops,1889,1
Boston,hoops,1891,1
Boston,joinery,1883,1
Boston,laths,1885,1
Boston,laths,1893,1
Boston,laths,1896,1
Boston,lathwood,1887,1
Boston,logs,1877,1
Boston,logs,1896,1
Boston,lumber,1886,1
Boston,mining timber,1899,1
Boston,mouldings,1886,1
Boston,mouldings,1891,1
Boston,mouldings,1895,1
Boston,oars,1881,1
Boston,oars,1887,1
Boston,oars,1888,1
Boston,oars,1897,1
Boston,pit props,1893,1
Boston,pitwood,1899,1
Boston,planks,1875,1
Boston,planks,1881,1
Boston,planks,1883,1
Boston,planks,1889,1
Boston,planks,1900,1
Boston,poles,1889,1
Boston,poles,1893,1
Boston,poles,1897,1
Boston,scantlings,1885,1
Boston,scantlings,1898,1
Boston,scantlings,1900,1
Boston,shooks,1884,1
Boston,shooks,1885,1
Boston,shooks,1895,1
Boston,shooks,1898,1
Boston,sleepers,1874,1
Boston,sleepers,1898,1
Boston,splints,1881,1
Boston,splints,1889,1
Boston,splints,1891,1
Boston,splints,1895,1
Boston,splints,1897,1
Boston,spokes,1888,1
Boston,spokes,1890,1
Boston,spoolwood,1891,1
Boston,squares,1881,1
Boston,squares,1883,1
Boston,squares,1893,1
Boston,squares,1897,1
Boston,staves,1877,1
Boston,staves,1878,1
Boston,timber,1877,1
Boston,timber,1887,1
Boston,timber,1892,1
Boston,timber,1898,1
Boston,timber,1900,1
Boston,trellis,1897,1
Boston,wood,1875,1
Boston,wood,1886,1
Boston,wood,1892,1
Boston,woodware,1885,1
Boston,woodware,1893,1
Boston,woodware,1895,1
Boston,woodware,1900,1
Boulogne,blocks,1897,1
Boulogne,blocks,1899,1
Boulogne,boards,1900,1
Boulogne,deals,1883,1
Boulogne,ends,1883,1
Boulogne,firewood,1893,1
Boulogne,firewood,1897,1
Boulogne,logs,1899,1
Boulogne,wood,1887,1
Boulogne,wood,1889,1
Boulogne,wood,1891,1
Boulogne,wood,1899,1
Bremen,battens,1883,1
Bremen,battens,1897,1
Bremen,blocks,1883,1
Bremen,boards,1883,1
Bremen,boards,1889,1
Bremen,deal ends,1883,1
Bremen,deals,1885,1
Bremen,firewood,1883,1
Bremen,firewood,1893,1
Bremen,logs,1874,1
Bremen,logs,1891,1
Bremen,lumber,1897,1
Bremen,mouldings,1893,1
Bremen,mouldings,1897,1
Bremen,pit props,1893,1
Bremen,pit props,1897,1
Bremen,pitwood,1895,1
Bremen,planks,1884,1
Bremen,planks,1886,1
Bremen,staves,1881,1
Bremen,staves,1884,1
Bremen,staves,1885,1
Bremen,staves,1891,1
Bremen,staves,1900,1
Bremen,timber,1874,1
Bremen,timber,1897,1
Bremen,timber,1899,1
Bremen,wood,1893,1
Bremen,wood,1897,1
Bremen,woodware,1900,1
Brest,boards,1891,1
Brest,firewood,1881,1
Brest,oars,1881,1
Brest,pit props,1879,1
Brest,pit props,1883,1
Brest,pit props,1889,1
Brest,pit props,1891,1
Brest,pitwood,1882,1
Brest,pitwood,1885,1
Brest,pitwood,1895,1
Brest,pitwood,1897,1
Brest,planks,1885,1
Brevig,balks,1881,1
Brevig,balks,1883,1
Brevig,balks,1885,1
Brevig,battens,1875,1
Brevig,battens,1877,1
Brevig,battens,1899,1
Brevig,boards,1879,1
Brevig,boards,1883,1
Brevig,boards,1885,1
Brevig,boards,1893,1
Brevig,boards,1897,1
Brevig,boathooks,1881,1
Brevig,crowntrees,1885,1
Brevig,crowntrees,1891,1
Brevig,deals,1879,1
Brevig,deals,1881,1
Brevig,deals,1889,1
Brevig,firewood,1874,1
Brevig,firewood,1881,1
Brevig,firewood,1883,1
Brevig,firewood,1890,1
Brevig,laths,1877,1
Brevig,lathwood,1874,1
Brevig,lathwood,1877,1
Brevig,logs,1893,1
Brevig,logs,1899,1
Brevig,mining timber,1878,1
Brevig,mining timber,1899,1
Brevig,palings,1883,1
Brevig,pit props,1886,1
Brevig,pit props,1896,1
Brevig,pitwood,1885,1
Brevig,pitwood,1887,1
Brevig,pitwood,1889,1
Brevig,poles,1875,1
Brevig,poles,1891,1
Brevig,poles,1893,1
Brevig,rickers,1874,1
Brevig,rickers,1893,1
Brevig,rickers,1899,1
Brevig,sleepers,1877,1
Brevig,sleepers,1887,1
Brevig,sleepers,1895,1
Brevig,sleepers,1897,1
Brevig,spars,1874,1
Brevig,spars,1875,1
Brevig,spars,1887,1
Brevig,spars,1890,1
Brevig,spars,1898,1
Brevig,splits,1881,1
Brevig,squares,1884,1
Brevig,squares,1887,1
Brevig,staves,1891,1
Brevig,wood,1875,1
Brevig,wood,1885,1
Brevig,wood,1895,1
Brevig,wood pulp,1897,1
Bridgewater,deals,1885,1
Bridgewater,ends,1883,1
Bridgewater,scantlings,1881,1
Bridgwater,battens,1885,1
Bridgwater,boards,1885,1
Bridgwater,deals,1881,1
Bridgwater,poles,1877,1
Bridgwater,rails,1877,1
Bridgwater,scantlings,1885,1
Bridgwater,timber,1877,1
Bristol,boards,1891,1
Bristol,deals,1881,1
Bristol,deals,1891,1
Bristol,ends,1891,1
