destination,commodity_form,year,shipments
Liverpool,ends,1889,89
Liverpool,lumber,1895,89
Liverpool,planks,1891,89
Liverpool,scantlings,1887,89
London,lathwood,1887,89
Glasgow,deals,1887,88
Glasgow,lumber,1887,88
Hull,pit props,1874,88
Leith,battens,1877,88
Leith,battens,1881,88
Leith,battens,1897,88
London,ends,1874,88
London,firewood,1875,88
Grimsby,deals,1897,87
Leith,deals,1897,87
Liverpool,doors,1899,87
London,timber,1889,87
Tyne Ports,battens,1881,87
Glasgow,deals,1895,86
Grimsby,boards,1899,86
Hull,firewood,1893,86
Hull,staves,1885,86
Leith,wood,1885,86
Liverpool,pit props,1887,86
Liverpool,planks,1893,86
Liverpool,squares,1899,86
London,mouldings,1891,86
London,timber,1897,86
Tyne Ports,deals,1895,86
Liverpool,deal ends,1893,85
London,boards,1874,85
Glasgow,lumber,1891,84
Glasgow,staves,1881,84
Grimsby,boards,1895,84
Leith,deals,1875,84
Liverpool,battens,1895,84
Bristol,deals,1881,83
Cardiff,deals,1889,83
King's Lynn,deals,1881,83
Leith,battens,1899,83
Leith,deals,1891,83
Liverpool,timber,1897,83
London,staves,1895,83
London,timber,1895,83
Tyne Ports,battens,1875,83
Belfast,deals,1889,82
Borrowstounness,pitwood,1887,82
Borrowstounness,pitwood,1895,82
Bristol,deals,1874,82
Bristol,deals,1889,82
Glasgow,deals,1875,82
Glasgow,deals,1881,82
Grimsby,deals,1885,82
Hull,laths,1889,82
Liverpool,battens,1883,82
Liverpool,logs,1893,82
Liverpool,wood,1899,82
London,ends,1893,82
London,lumber,1895,82
Newport,pit props,1891,82
Sunderland,pit props,1899,82
Goole,hoops,1883,81
Greenock,deals,1874,81
Grimsby,battens,1889,81
Grimsby,battens,1897,81
Hartlepool (West),boards,1881,81
Hartlepool (West),poles,1889,81
Hull,timber,1881,81
Leith,hoops,1885,81
Liverpool,planks,1889,81
MANCHESTER,deals,1899,81
Tyne Ports,boards,1895,81
Bristol,deals,1885,80
Cardiff,deals,1883,80
Hull,laths,1887,80
Liverpool,handles,1889,80
London,ends,1881,80
London,sleepers,1889,80
London,timber,1899,80
Tyne Ports,hoops,1887,80
Grangemouth,ends,1887,79
Hartlepool (West),squares,1889,79
Leith,deals,1895,79
London,sleepers,1875,79
London,timber,1887,79
Tyne Ports,hoops,1881,79
Tyne Ports,pit props,1879,79
Belfast,deals,1895,78
Borrowstounness,pit props,1875,78
Bristol,deals,1887,78
Hartlepool (West),battens,1887,78
Hull,boards,1883,78
Hull,staves,1889,78
Hull,staves,1891,78
Liverpool,logs,1881,78
Liverpool,logs,1883,78
Liverpool,lumber,1887,78
London,lumber,1893,78
Yarmouth,deals,1879,78
Bristol,deals,1893,77
Gloucester,deals,1897,77
Grangemouth,deals,1897,77
Hartlepool (West),sleepers,1891,77
Hull,hoops,1885,77
Liverpool,shooks,1899,77
WISBECH,deals,1885,77
Hull,boards,1881,76
Leith,battens,1895,76
Liverpool,battens,1893,76
Liverpool,ends,1897,76
Liverpool,timber,1885,76
Sunderland,deals,1881,76
Sunderland,deals,1883,76
Sunderland,deals,1889,76
Sunderland,sleepers,1889,76
Bristol,deals,1883,75
Greenock,deals,1877,75
Hull,laths,1897,75
Leith,deals,1877,75
Liverpool,ends,1885,75
Liverpool,handles,1899,75
London,ends,1899,75
London,lumber,1891,75
London,sleepers,1885,75
London,staves,1897,75
Sunderland,pit props,1895,75
Yarmouth,deals,1883,75
Bristol,deals,1897,74
Hartlepool (West),sleepers,1874,74
Hull,lathwood,1881,74
Kirkcaldy,pit props,1899,74
Leith,battens,1875,74
Leith,firewood,1889,74
Liverpool,battens,1891,74
Liverpool,palings,1874,74
Liverpool,scantlings,1877,74
Liverpool,scantlings,1883,74
London,mouldings,1885,74
London,timber,1891,74
Tyne Ports,boards,1897,74
Tyne Ports,sleepers,1883,74
Glasgow,deals,1891,73
Greenock,staves,1883,73
Hull,hoops,1889,73
Hull,lathwood,1879,73
Leith,deals,1881,73
Liverpool,ends,1895,73
Newport,pit props,1895,73
Gloucester,deals,1899,72
Grimsby,battens,1891,72
Hartlepool (West),battens,1893,72
Leith,hoops,1887,72
London,deal ends,1874,72
Bristol,deals,1899,71
Cardiff,pit props,1881,71
Dundee,deals,1885,71
Dundee,deals,1889,71
Gloucester,deals,1895,71
Grimsby,boards,1877,71
Grimsby,boards,1889,71
Hull,hoops,1887,71
Liverpool,blocks,1899,71
London,mouldings,1883,71
London,timber,1875,71
Tyne Ports,wood,1893,71
Grimsby,sleepers,1881,70
Hull,wood,1887,70
Kirkcaldy,pit props,1891,70
Leith,hoops,1889,70
London,doors,1881,70
London,lathwood,1889,70
London,lumber,1887,70
Tyne Ports,mining timber,1899,70
Borrowstounness,pit props,1874,69
Glasgow,ends,1899,69
Glasgow,lumber,1893,69
Hull,wood,1895,69
Liverpool,hoops,1889,69
Liverpool,timber,1891,69
London,doors,1883,69
London,flooring,1899,69
Newcastle upon Tyne,boards,1877,69
Tyne Ports,staves,1887,69
Tyne Ports,wood,1883,69
Aberdeen,firewood,1893,68
Belfast,deals,1883,68
Grimsby,boards,1891,68
Leith,battens,1874,68
Liverpool,spokes,1887,68
London,staves,1893,68
Belfast,deals,1885,67
Belfast,deals,1891,67
Bristol,boards,1897,67
Grangemouth,deals,1879,67
Hull,timber,1883,67
Leith,deals,1874,67
Liverpool,deal ends,1885,67
Liverpool,lumber,1893,67
Liverpool,pit props,1895,67
Liverpool,pit props,1899,67
Liverpool,planks,1885,67
Liverpool,shooks,1891,67
London,doors,1889,67
London,laths,1889,67
London,timber,1879,67
Middlesbrough,pit props,1881,67
Newport,pitwood,1881,67
Sunderland,pit props,1877,67
Grangemouth,ends,1881,66
Hartlepool (West),battens,1891,66
Hull,ends,1895,66
Hull,lathwood,1875,66
Hull,staves,1887,66
Hull,wood,1891,66
London,laths,1881,66
London,laths,1883,66
London,sleepers,1881,66
Sunderland,deals,1885,66
Tyne Ports,sleepers,1893,66
Tyne Ports,staves,1881,66
Dundee,battens,1899,65
Glasgow,deals,1877,65
Grangemouth,battens,1879,65
Hull,timber,1885,65
King's Lynn,deals,1883,65
Leith,hoops,1891,65
Liverpool,palings,1875,65
Liverpool,wood,1887,65
London,mouldings,1889,65
London,mouldings,1895,65
Tyne Ports,wood,1899,65
Dublin,deals,1883,64
Dundee,battens,1889,64
Glasgow,lumber,1895,64
Glasgow,lumber,1899,64
Goole,hoops,1885,64
Grangemouth,timber,1877,64
Greenock,deals,1875,64
