merchant,destination,year,shipments
G. Hanna,Newry,1883,1
G. Harrison & Bros.,Hartlepool (West),1889,1
G. Harrison & Bros.,Liverpool,1895,1
G. Harrison & Brothers,Liverpool,1893,1
G. Harvey,Yarmouth,1885,1
G. Harvey & Co. (Limited),PENZANCE,1883,1
G. Hattley Hay,London,1895,1
G. Henry Newton,Yarmouth,1885,1
G. Herring,Newcastle upon Tyne,1877,1
G. Hey,Belfast,1897,1
G. Heyn,Belfast,1891,1
G. Heyn,Cork,1891,1
G. Heyn & Co.,Belfast,1891,1
G. Heyn & Co.,Belfast,1899,1
G. Heyn & Son; fr,Belfast,1887,1
G. Heyn & Sons,,1881,1
G. Heyn & Sons,Cardiff,1895,1
G. Heyn & Sons,Liverpool,1900,1
G. Heyn & Sons,London,1899,1
G. Heyn & Sons,Londonderry,1889,1
G. Heyn & Sons,Londonderry,1890,1
G. Heyn & Sons,Londonderry,1892,1
G. Heyn & Sons,Londonderry,1893,1
G. Heyn & Sons,Sunderland,1891,1
G. Heyn & Sons,Tyne Ports,1897,1
G. Heyn & Sons,WISBECH,1899,1
"G. Heyn, jun",,1879,1
G. Hickery,Gloucester,1893,1
G. Hickery,Gloucester,1895,1
G. Hogg,Llanelli,1899,1
G. Holme & Co.,Liverpool,1897,1
G. Hooper,,1881,1
G. Hooper,Barrow-in-Furness,1880,1
G. Hooper,Bridgwater,1889,1
G. Hooper,Bridgwater,1897,1
G. Hooper,Fleetwood,1895,1
G. Hooper & Co.,,1899,1
G. Hooper & Co.,Bridgwater,1887,1
G. Hooper & Co.,Bridgwater,1891,1
G. Hooper & Co.,Bristol,1893,1
G. Hooper & Co.,Liverpool,1893,1
"G. Hooper & Co., Ltd.",,1899,1
G. Hopton,Swansea,1893,1
G. Horsley,,1879,1
G. Horsley,,1897,1
G. Horsley,Boston,1887,1
G. Horsley,Cardiff,1881,1
G. Horsley,Cardiff,1885,1
G. Horsley,FOWEY,1893,1
G. Horsley,Hull,1895,1
G. Horsley,London,1881,1
G. Horsley,London,1885,1
G. Horsley,Middlesbrough,1885,1
G. Horsley,Newport,1885,1
G. Horsley,Tyne Ports,1899,1
G. Horsley & Co.,,1879,1
G. Horsley & Co.,,1890,1
G. Horsley & Co.,Barrow-in-Furness,1897,1
G. Horsley & Co.,Bristol,1883,1
G. Horsley & Co.,Chester,1885,1
G. Horsley & Co.,Chester,1887,1
G. Horsley & Co.,EXETER,1893,1
G. Horsley & Co.,Gloucester,1888,1
G. Horsley & Co.,Goole,1885,1
G. Horsley & Co.,Grimsby,1889,1
G. Horsley & Co.,Grimsby,1895,1
G. Horsley & Co.,Hartlepool,1895,1
G. Horsley & Co.,Hartlepool (West),1890,1
G. Horsley & Co.,Hull,1887,1
G. Horsley & Co.,Hull,1896,1
G. Horsley & Co.,Hull,1900,1
G. Horsley & Co.,King's Lynn,1885,1
G. Horsley & Co.,Liverpool,1893,1
G. Horsley & Co.,Liverpool,1899,1
G. Horsley & Co.,London,1881,1
G. Horsley & Co.,Sunderland,1887,1
G. Horsley & Robinson,Hartlepool (West),1885,1
G. How & Co.,BARNSTAPLE,1899,1
G. Howard,Harwich,1897,1
G. Huarton,Barrow-in-Furness,1885,1
G. Humfries,Belfast,1887,1
G. J. Eustace & Co.,Cork,1893,1
G. J. Harrison,Swansea,1899,1
G. J. McCaul & Co.,,1893,1
G. J. McCaul & Co.,London,1893,1
G. J. Neame & Co.,Teignmouth,1891,1
"G. J. Tagart, Beaton, & Co.",,1895,1
G. J. W,Tyne Ports,1895,1
G. J. Watts,Newport,1881,1
G. James,Barrow-in-Furness,1881,1
G. Jesseman,Dundee,1875,1
G. Jesseman,Dundee,1879,1
G. Jessen,,1883,1
G. Jessen,Cardiff,1882,1
G. Jessen,Cardiff,1883,1
G. Jessen,Cardiff,1889,1
G. Jessiman,Borrowstounness,1879,1
G. Jessiman,Dundee,1879,1
G. Jessiman,Granton,1875,1
G. Jewett,,1879,1
G. Jewett,,1881,1
G. Jewett,,1889,1
G. Jewett,,1897,1
G. Jewett,London,1899,1
G. Johnson,London,1889,1
G. Johnson & Co.,Greenhithe,1889,1
G. Jones,Newport,1881,1
G. Jones,Newport,1887,1
G. Jones & Nash,Bristol,1877,1
G. Jones & Sons,Bristol,1899,1
"G. Jones, Heard, & Co.",Newport,1881,1
G. K. M'Leod,Liverpool,1889,1
G. L. Pritchard & Co.,Barrow-in-Furness,1883,1
G. L. Whiteing,Grimsby,1887,1
G. L. Whiting,Grimsby,1887,1
G. L. Wood & Co.,Hull,1895,1
G. Langland & McAnish,Dundee,1895,1
G. Lansbrooke,Swansea,1881,1
G. Lawson & Co.,Hull,1881,1
G. Lee,Boston,1885,1
G. Lee,Boston,1887,1
G. Lee,Boston,1889,1
G. Lee,Boston,1893,1
G. Lee,Boston,1895,1
G. Lee,Boston,1899,1
G. Leslie,Dundee,1881,1
G. Loder,Hartlepool (West),1883,1
G. Loder,Liverpool,1883,1
G. Ludwig & Co.,Aberdeen,1895,1
G. M'Leod,,1885,1
G. M'Leod,Liverpool,1885,1
G. M. Amichich,London,1891,1
G. M. Amicis,London,1883,1
G. M. Barnes & King,Bristol,1878,1
G. M. Brown,Bristol,1877,1
G. M. D. Amico,Liverpool,1885,1
G. M. Dectuness,Liverpool,1891,1
G. M. Ennis,Wexford,1887,1
G. M. Jessen,Bristol,1881,1
G. M. Kent,Liverpool,1899,1
G. M. Konn,Liverpool,1899,1
G. M. Smith,London,1883,1
G. M. de Amer & Son,Liverpool,1885,1
G. M. de Amices,Liverpool,1887,1
G. M. de Amicie,Liverpool,1893,1
G. M. de Amicis,,1884,1
G. M. de Amicis,,1887,1
G. M. de Amicis,Liverpool,1885,1
G. M. de Amicis,Liverpool,1887,1
G. M. de Amicis,Liverpool,1889,1
G. M. de Amicos,,1885,1
G. M. de Amicos,Hartlepool (West),1885,1
G. M. de Arrueis,Liverpool,1885,1
G. Maard,Rochester,1885,1
G. Macintosh,Wick,1883,1
G. Maresca,Troon,1881,1
G. Mason,Ipswich,1882,1
G. Mason,Ipswich,1889,1
G. Mason,Ipswich,1891,1
G. Mason,Middlesbrough,1885,1
G. Mason & Co.,Ipswich,1887,1
G. Masterton & Co.,Leith,1881,1
G. McLeod,,1883,1
G. McLeod,Liverpool,1887,1
G. McLeod,London,1883,1
G. Meyer & Co.,,1897,1
G. Miles & Co.,,1881,1
G. Milne,,1881,1
G. Milne,Aberdeen,1889,1
G. Milne,Inverness,1889,1
G. Milne & Co.,Ardrossan,1887,1
G. Milne & Co.,Belfast,1881,1
G. Milne & Co.,Inverness,1887,1
G. Milne & Co.,Inverness,1889,1
"G. Morgan, Gellibrand & Co.",London,1887,1
G. Morrison & Co.,Greenock,1881,1
G. Mouchel,Cardiff,1887,1
G. Mouchel,Sunderland,1897,1
G. Mouchel,Swansea,1895,1
G. Muzn Timber Co.,London,1897,1
G. N. Jessen,,1881,1
G. N. Jessen,Berwick-upon-Tweed,1881,1
G. N. Jessen,Cardiff,1881,1
G. N. Jessen,Cardiff,1884,1
G. N. Jessen,Cardiff,1886,1
G. N. Jessen,Cardiff,1888,1
G. N. Jessen,Cardiff,1889,1
G. N. Jessen,Newport,1881,1
G. N. Jessen,Swansea,1881,1
G. N. Johnson,,1874,1
G. N. Jones,Cardiff,1887,1
G. N. Temperley,BLYTH,1889,1
G. N. Wilson,Hartlepool (West),1874,1
G. Napier & Co.,Aberdeen,1887,1
G. Neame,London,1881,1
G. Nielsen,Hartlepool (West),1885,1
G. Nielsen & Co.,,1889,1
G. Northwanger & Co.,Tyne Ports,1881,1
G. Northwanger & Co.,Tyne Ports,1883,1
G. Nothanger & Co.,Tyne Ports,1887,1
G. Nothwanger & Co.,Tyne Ports,1885,1
G. Nothwanger & Co.,Tyne Ports,1889,1
G. Olivari,,1883,1
G. Ovdrdside,London,1887,1
G. P. Braathen,London,1889,1
G. P. Longden,,1881,1
G. P. Thomas,Cardiff,1896,1
G. P. Ware,Teignmouth,1885,1
G. Pagan,Llanelli,1889,1
G. Pagan & Son,,1889,1
G. Paterson,Grangemouth,1881,1
G. Payne & Co.,London,1899,1
G. Pearson,,1899,1
G. Pearson,Alloa,1891,1
G. Pearson,Alloa,1897,1
G. Pearson,Hartlepool (West),1883,1
G. Pearson & Co.,Aberdeen,1891,1
G. Pearson & Co.,Aberdeen,1897,1
G. Pearson & Co.,Alloa,1887,1
G. Pearson & Co.,Alloa,1892,1
G. Pearson & Co.,Hartlepool (West),1893,1
G. Pedersen,London,1889,1
G. Penney,Shoreham,1892,1
G. Percival,Grimsby,1897,1
G. Percy Thomas,Cardiff,1895,1
G. Perkins & Co.,London,1875,1
G. Pinkerton,Belfast,1891,1
G. Pyma,Hartlepool (West),1887,1
G. Pyman,,1889,1
G. Pyman,,1891,1
G. Pyman,,1897,1
G. Pyman,Hartlepool (West),1886,1
G. Pyman,Hull,1887,1
G. Pyman & Co.,,1889,1
G. Pyman & Co.,,1895,1
G. Pyman & Co.,Grimsby,1877,1
G. Pyman & Co.,Hartlepool (West),1875,1
G. Pyman & Co.,Hull,1877,1
G. Pyman & Co.,Hull,1897,1
G. Pyman & Co.,Leith,1887,1
G. Pyman & Co.,Liverpool,1889,1
G. Pyman & Co.,Wexford,1893,1
"G. Pyman & Co. burg.—a full cargo props, G. Pyman & Co.",Hartlepool (West),1875,1
G. Pyman Erichsen & Co.,Hartlepool,1895,1
G. R. Boyce,London,1874,1
G. R. Millar & Sons,Aberdeen,1893,1
G. R. Robertson & Co.,Liverpool,1887,1
G. Rander,Granton,1883,1
G. Reid,Ayr,1897,1
G. Reid,Banff,1891,1
G. Reid,Banff,1899,1
G. Reid,Leith,1895,1
G. Reynolds & Sons,London,1874,1
G. Richards,Bristol,1899,1
G. Robertson,,1891,1
G. Robertson,,1895,1
G. Robertson,Kirkcaldy,1893,1
G. Rollins & Co.,,1900,1
G. Rollins & Co.,London,1900,1
G. Rowells,Grimsby,1875,1
G. Rustad,London,1879,1
G. Ryley & Son,Harwich,1897,1
G. S. Caird,Inverness,1883,1
G. S. Jones,Swansea,1895,1
G. S. Saunders,London,1887,1
G. S. Stowe,Cardiff,1883,1
G. Salsyotter,LANCASTER,1897,1
G. Salvesen & Co.,Granton,1889,1
G. Salvesen & Co.,Granton,1890,1
G. Salvesen & Co.,Granton,1891,1
G. Saunders & Co.,London,1891,1
G. Schjoth & Co.,Fleetwood,1895,1
G. Schjöth & Co.,Fleetwood,1891,1
G. Schofield,London,1874,1
G. Schroeter & Co.,Cardiff,1891,1
G. Schroeter & Co.,Cardiff,1899,1
G. Sckonkenwald,London,1879,1
G. Sclijath & Co.,Fleetwood,1885,1
G. Sebjoth & Co.,Cardiff,1897,1
G. Sebyotter,LANCASTER,1897,1
G. Shadbolt,Liverpool,1891,1
G. Shadbolt,London,1881,1
G. Shadbolt & Co.,London,1891,1
G. Shadbolt & Son,Glasgow,1891,1
G. Shadbolt & Son,Hartlepool (West),1877,1
G. Shadbolt & Sons,Liverpool,1891,1
G. Shapland,Cardiff,1881,1
G. Shellim,Cardiff,1889,1
G. Shillitoe,,1889,1
G. Shipway,Gloucester,1897,1
G. Skolde,Tyne Ports,1881,1
G. Skolem,Sunderland,1881,1
G. Skolem,Tyne Ports,1889,1
G. Smith,Bristol,1882,1
G. Smith,Liverpool,1881,1
G. Smith,London,1881,1
G. Steel,Hartlepool (West),1883,1
G. Steel & Co.,Dover,1883,1
G. Stephen,Fraserburgh,1887,1
G. Stephen,Leith,1891,1
G. Stephen & Co.,Fraserburgh,1893,1
G. Stephen & Co.,Granton,1893,1
G. Stephen & Co.,Peterhead,1893,1
G. Stephen & Son,Fraserburgh,1881,1
"G. Stephen, jun",Fraserburgh,1885,1
"G. Stephen, jun",Fraserburgh,1889,1
G. Stephens & Co.,Fraserburgh,1887,1
G. Stephens & Co.,Peterhead,1895,1
G. Steyn & Co.,Belfast,1899,1
G. Steyn & Sons,Belfast,1899,1
G. Steyning,Belfast,1899,1
G. Strina,Cardiff,1879,1
G. Sussone,Waterford,1887,1
G. Sykes & Son,Hull,1881,1
G. Symon,BARNSTAPLE,1887,1
G. Symond,Yarmouth,1887,1
G. Symonds,Yarmouth,1887,1
"G. Symons, Martyn, & Co.",Ipswich,1897,1
G. T. & A. Laycock,Hartlepool (West),1877,1
G. T. Pearson & Co.,Gloucester,1883,1
G. T. Pearson & Co.,Grimsby,1885,1
G. T. Pearson & Co.,Hartlepool (West),1879,1
G. T. Pearson & Co.,London,1885,1
G. T. Salvesen & Co.,Grangemouth,1874,1
G. Tayler,Swansea,1893,1
G. Taylor,Liverpool,1897,1
G. Taylor,Swansea,1895,1
"G. Taylor, Sons, & Co.",Fleetwood,1897,1
G. Tebbutt,Liverpool,1895,1
G. Theep & Co.,Swansea,1893,1
G. Thompson,London,1875,1
G. Thompson,London,1881,1
G. Tuplin,Grimsby,1877,1
G. Turnbull,Leith,1891,1
G. Tweedy,London,1889,1
G. V. Turnbull,,1874,1
G. V. Turnbull,Leith,1893,1
G. V. Turnbull,Leith,1895,1
G. V. Turnbull,Liverpool,1874,1
G. V. Turnbull & Co.,Leith,1881,1
G. V. Turnbull & Co.,Leith,1887,1
G. W. Bedford,Swansea,1887,1
G. W. Betts & Co.,Weymouth,1881,1
G. W. Betts & Co.,Weymouth,1885,1
G. W. Ellis,Hartlepool (West),1893,1
G. W. Emerson,Waterford,1881,1
G. W. Gething & Co.,London,1883,1
G. W. Green & Co.,Liverpool,1897,1
G. W. Green & Co.,Middlesbrough,1897,1
G. W. Heard & Co.,Newport,1899,1
G. W. Jones,Barrow-in-Furness,1877,1
G. W. Jones,Newport,1887,1
G. W. Jones,Newport,1899,1
G. W. Jones & Co.,London,1881,1
G. W. Jones & Co.,Newport,1883,1
G. W. Jones & Co.,Newport,1895,1
G. W. Jones & Co.,Newport,1899,1
"G. W. Jones, Heard, & Co.",,1887,1
"G. W. Jones, Heard, & Co.",,1889,1
"G. W. Jones, Heard, & Co.",,1899,1
"G. W. Jones, Heard, & Co.",Cardiff,1889,1
"G. W. Jones, Heard, & Co.",Cardiff,1895,1
"G. W. Jones, Heard, & Co.",Glasgow,1881,1
"G. W. Jones, Heard, & Co.",London,1889,1
"G. W. Jones, Heard, & Co.",Middlesbrough,1885,1
"G. W. Jones, Heard, & Co.",Newcastle,1889,1
"G. W. Jones, Heard, & Co.",Newport,1882,1
"G. W. Jones, Heard, & Co.",Newport,1885,1
"G. W. Jones, Heard, & Co.",Newport,1888,1
"G. W. Jones, Heard, & Co.",Newport,1898,1
"G. W. Jones, Heard, & Co.",Newport,1900,1
"G. W. Jones, Heard, & Ingram",Cardiff,1883,1
"G. W. Jones, Hoard & Co.",Newport,1899,1
"G. W. Jones, jun",Montrose,1891,1
G. W. Lindstrom,Colchester,1887,1
G. W. Neary,Sligo,1883,1
"G. W. Neary & Co., Lim",Sligo,1883,1
G. W. Nicoll,Dundee,1881,1
G. W. Stourton,Grimsby,1879,1
G. W. Stourton,Grimsby,1881,1
G. W. Stourton,Hull,1883,1
G. W. Watts,Newport,1881,1
G. Wanger & Co.,Tyne Ports,1887,1
G. Warren & Co.,Liverpool,1899,1
G. Watson,,1885,1
G. Watson,King's Lynn,1891,1
G. Watson,Kirkcaldy,1881,1
G. Watson,Liverpool,1893,1
G. Watson,Middlesbrough,1881,1
G. Watson,Middlesbrough,1887,1
G. Watson,Middlesbrough,1895,1
G. Watson,Tyne Ports,1883,1
G. Watt,Aberdeen,1883,1
G. Week,EXETER,1889,1
G. Week,Falmouth,1883,1
G. Week & Co.,Falmouth,1885,1
G. Week & Co.,Falmouth,1895,1
G. Week & Co.,Plymouth,1891,1
G. Weeke,Falmouth,1881,1
G. Weeks & Co.,Falmouth,1881,1
G. Weeks & Co.,Falmouth,1883,1
G. Welch,Kirkcaldy,1883,1
G. Welch,Kirkcaldy,1899,1
G. Welch & Co.,Tyne Ports,1895,1
G. Welle,Hull,1891,1
G. Wellwood,Kirkcaldy,1881,1
G. Welsh,Kirkcaldy,1883,1
G. Welsh,Methil,1893,1
G. West,Falmouth,1887,1
G. West,Peterhead,1883,1
G. West,Peterhead,1885,1
G. West & Co.,Falmouth,1887,1
G. Whiteing,Gloucester,1889,1
G. Whiteing,Grimsby,1889,1
G. Wiener,Sunderland,1897,1
G. Wiener & Co.,Sunderland,1899,1
G. Williams,Aberystwyth,1889,1
G. Wills,Cardiff,1891,1
G. Wills,Cardiff,1893,1
G. sley & Co.,,1897,1
G.E.R.Co.,LOWESTOFT,1891,1
G.North,Tyne Ports,1879,1
G.P.O,Tyne Ports,1887,1
Gabeck & Co.,Hartlepool (West),1899,1
Gabriel,Bristol,1879,1
Gabriel,EXETER,1881,1
Gabriel,EXETER,1883,1
Gabriel,EXETER,1885,1
Gabriel,Grimsby,1887,1
Gabriel,Grimsby,1891,1
Gabriel,Hartlepool (West),1889,1
Gabriel,Hartlepool (West),1893,1
Gabriel,London,1883,1
Gabriel,London,1897,1
Gabriel,Newport,1879,1
Gabriel,Rochester,1883,1
Gabriel,Rochester,1885,1
Gabriel,Southampton,1879,1
Gabriel & Co.,QUEENBOROUGH,1885,1
Gabriel & Son,,1879,1
Gabriel & Son,,1889,1
Gabriel & Son,Berwick-upon-Tweed,1889,1
Gabriel & Son,Boston,1889,1
Gabriel & Son,EXETER,1881,1
Gabriel & Son,EXETER,1883,1
Gabriel & Son,EXETER,1895,1
Gabriel & Son,EXETER,1899,1
Gabriel & Son,Grimsby,1881,1
Gabriel & Son,Grimsby,1889,1
Gabriel & Son,Grimsby,1895,1
Gabriel & Son,Hartlepool (West),1891,1
Gabriel & Son,Hartlepool (West),1893,1
Gabriel & Son,Leith,1881,1
Gabriel & Son,London,1879,1
Gabriel & Son,London,1883,1
Gabriel & Son,London,1889,1
Gabriel & Sons,,1885,1
Gabriel & Sons,,1889,1
Gabriel & Sons,Cardiff,1887,1
Gabriel & Sons,EXETER,1882,1
Gabriel & Sons,FAVERSHAM,1893,1
Gabriel & Sons,Grimsby,1881,1
Gabriel & Sons,Hartlepool (West),1887,1
Gabriel & Sons,Hartlepool (West),1889,1
Gabriel & Sons,Hartlepool (West),1895,1
Gabriel & Sons,Liverpool,1883,1
Gabriel & Sons,London,1874,1
Gabriel & Sons,London,1875,1
Gabriel & Sons,London,1883,1
Gabriel & Sons,London,1889,1
Gabriel & Sons,London,1891,1
Gabriel & Sons,Newport,1879,1
Gabriel & Sons,Poole,1889,1
Gabriel & Sons,Portsmouth,1885,1
Gabriel & Sons,Rochester,1885,1
Gabriel & Sons,Southampton,1879,1
"Gabriel & Sons, Station yard",London,1885,1
Gabrielli & Co.,EXETER,1885,1
Gabrielsen,Leith,1885,1
Gabrielsen & Co.,Granton,1885,1
Gabrielsen & Co.,Leith,1883,1
Gabrielson & Co.,Leith,1883,1
Gahtchjoth & Co.,Fleetwood,1893,1
Gaised,,1883,1
"Galbraith, Pembroke, & Co.",London,1881,1
Gallatly,London,1899,1
Gallatly & Co.,QUEENBOROUGH,1887,1
Gallatly & Ferry,,1899,1
Gallivara Co.,,1879,1
Galpin & Co.,Weymouth,1899,1
Gammon & Baker,BARNSTAPLE,1899,1
Gane,Cardiff,1893,1
Gane,Grimsby,1895,1
Ganet S.S. Co.,Belfast,1899,1
Ganger & Co.,Newport,1885,1
Gantry & Station yard,London,1885,1
Gany,Tyne Ports,1897,1
Garcia & Co.,Liverpool,1885,1
Garden,Aberdeen,1891,1
Garden & West,Peterhead,1891,1
Gardiner,Newport,1880,1
Gardiner & Co.,London,1895,1
Gardiner & Hinsley,Hartlepool (West),1899,1
Gardiner & Sons,Liverpool,1893,1
Gardiner & Sons,Liverpool,1897,1
Gardner,Gloucester,1891,1
Gardner,Liverpool,1881,1
Gardner,Liverpool,1883,1
Gardner,Liverpool,1887,1
Gardner,London,1881,1
Gardner,London,1883,1
Gardner,London,1897,1
Gardner,Tyne Ports,1895,1
Gardner & Co.,,1877,1
Gardner & Co.,Liverpool,1881,1
Gardner & Co.,Liverpool,1899,1
Gardner & Co.,London,1883,1
Gardner & Son,Liverpool,1875,1
Gardner & Son,Liverpool,1881,1
Gardner & Son,Liverpool,1883,1
Gardner & Son,Liverpool,1891,1
Gardner & Son,London,1883,1
Gardner & Sons,Liverpool,1875,1
Gardner & Sons,Liverpool,1877,1
Gardner & Sons,Liverpool,1883,1
Gardner & Sons,Liverpool,1884,1
Gardner & Sons,Liverpool,1891,1
Gardner & Sons,Liverpool,1899,1
Garfield,Cardiff,1898,1
Garland,,1879,1
Garland,,1889,1
Garland,,1891,1
Garland,Dundee,1889,1
Garland,Granton,1893,1
Garland,Kirkcaldy,1895,1
Garland,Leith,1893,1
Garland,Newport,1879,1
Garland,Poole,1879,1
Garland,Southampton,1879,1
Garland & Co.,Leith,1883,1
Garland & Co.,Leith,1891,1
Garland & Co.,Leith,1893,1
Garland & Flaxman,King's Lynn,1893,1
Garland & Flaxman,King's Lynn,1895,1
Garland & Roger,,1889,1
Garland & Roger,CARLISLE,1889,1
Garland & Roger,CARLISLE,1897,1
Garland & Roger,CARLISLE,1899,1
Garland & Roger,Dundee,1889,1
Garland & Roger,Dundee,1895,1
Garland & Roger,Glasgow,1887,1
Garland & Roger,Glasgow,1895,1
Garland & Roger,Grangemouth,1897,1
Garland & Roger,Leith,1896,1
Garland & Rogers,Leith,1879,1
Garland & Rogers,Leith,1881,1
Garland & Rogers,Leith,1883,1
Garland & Rogers,Yarmouth,1879,1
"Garland & Rogers, Ltd.",Aberdeen,1899,1
Garland & Sons,Leith,1883,1
Garland & Sons,Montrose,1897,1
Garland & Wolff,Belfast,1897,1
"Garland, Innes, & Co.",Liverpool,1891,1
Garrard,London,1881,1
Garratt & Ferry,London,1897,1
Garrett,WISBECH,1881,1
Gart-hill Coal Co.,Alloa,1889,1
Gartner,Liverpool,1897,1
Gaskell & Co.,Liverpool,1883,1
"Gates, less & Son",Shoreham,1897,1
Gathey,Belfast,1897,1
Gaudet & Co.,Newport,1899,1
Gaulay Bros. & Co.,Dundee,1881,1
Gault,Belfast,1891,1
Gault & Co.,Belfast,1893,1
Gault & Hamilton,,1883,1
Gault Bros.,Belfast,1889,1
Gauran,London,1883,1
Gavenwood & Co.,Hartlepool (West),1877,1
Gazard,London,1881,1
Gds,Hull,1874,1
Gear,Wick,1883,1
Gee,,1875,1
Gelhard & Co.,London,1891,1
"Gellatly, mann & Co.",London,1883,1
"Gelli & Tenybedw Co., Ltd.",Cardiff,1891,1
Gelli & Tynybedw Collieries Co.,Swansea,1889,1
"Gellibrand, & Co.",Liverpool,1893,1
"Gellieffeen, Wills, & Co.",Cardiff,1885,1
Gellilue,Aberdeen,1889,1
Gellivara Aktiebolag,London,1883,1
Gellivara Co.,Bristol,1879,1
Gelly Coal Co.,Kirkcaldy,1889,1
Gelly Iron & Coal Co.,Kirkcaldy,1891,1
Gem,Cardiff,1881,1
Gem Lime Co.,Dundee,1895,1
General,,1891,1
General,,1893,1
General,Grimsby,1891,1
General,Hartlepool (West),1889,1
General,Hartlepool (West),1893,1
General,Hartlepool (West),1899,1
General,London,1883,1
General,London,1891,1
General,Tyne Ports,1893,1
"General ; Duus, Brown, & Co.",,1893,1
General New Zealand,London,1895,1
General Skewer Co.,London,1887,1
General am Navigation Co.,Southampton,1897,1
"Gensson, Watt & Co.",,1899,1
Geo,Dundee,1889,1
Geo,Glasgow,1874,1
Geo,Hartlepool (West),1874,1
Geo,Hull,1897,1
Geo,Leith,1887,1
Geo,Leith,1889,1
Geo,MANCHESTER,1899,1
Geo,Middlesbrough,1897,1
Geo,Troon,1889,1
Geo. Armitstead & Co.,Dundee,1887,1
Geo. B. Sully,Bridgwater,1893,1
Geo. Beard,Gloucester,1881,1
Geo. Beattie,Leith,1887,1
Geo. Bedford,Swansea,1886,1
Geo. Bell,Dublin,1887,1
Geo. Bell,Sligo,1897,1
Geo. Cook,Chester,1881,1
Geo. Couper,Wick,1899,1
Geo. Couper,Wick,1900,1
Geo. Curry,Tyne Ports,1881,1
Geo. D. Aslatt,Southampton,1889,1
Geo. Drayson & Co.,Rochester,1881,1
Geo. Drayson & Co.,Rochester,1885,1
Geo. Dunlop & Co.,Southampton,1889,1
Geo. Evans & Sons,MANCHESTER,1899,1
Geo. Gibson,Leith,1898,1
Geo. Gibson & Jo,Leith,1889,1
Geo. Gibson & Son,Borrowstounness,1899,1
Geo. Gibson & Son,Leith,1899,1
Geo. Gillespie & Co.,Greenock,1881,1
Geo. Gordon & Co.,Aberdeen,1895,1
Geo. Gordon & Co.,Aberdeen,1897,1
Geo. Gordon & Co.,Aberdeen,1899,1
Geo. Hammond,RAMSGATE,1881,1
Geo. Hammond & Co.,Dover,1887,1
Geo. Hammond & Co.,Dover,1899,1
Geo. Hammond & Co.,RAMSGATE,1883,1
Geo. Hammond & Co.,RAMSGATE,1892,1
Geo. Harvey,Yarmouth,1885,1
Geo. Heard,Swansea,1881,1
Geo. Henderson & Co.,Kirkcaldy,1889,1
Geo. Hooper,Bridgwater,1881,1
Geo. Hooper & Co.,,1899,1
Geo. Hooper & Co.,Bridgwater,1899,1
"Geo. Hooper & Co., Ltd.",Bridgwater,1899,1
"Geo. Horsley, Smith & Co.",Hull,1899,1
Geo. Insole & Sons,Cardiff,1881,1
Geo. Jamieson,Aberdeen,1899,1
Geo. Jamieson,Wick,1889,1
Geo. Jewett,London,1887,1
Geo. Jones,Swansea,1887,1
"Geo. Jones, Heard, & Co.",Newport,1887,1
Geo. Latus & Co.,Grimsby,1899,1
Geo. Lawson & Sons,Hull,1887,1
Geo. Mason,Ipswich,1881,1
Geo. Mason,Ipswich,1889,1
Geo. Mason,Ipswich,1897,1
Geo. Milne & Co.,Aberdeen,1883,1
Geo. Milne & Co.,Aberdeen,1889,1
Geo. Milne & Co.,Inverness,1887,1
Geo. Milne & Co.,Inverness,1889,1
Geo. Milne & Co.,Inverness,1891,1
Geo. Milne & Co.,Yarmouth,1887,1
Geo. Mitchell & Co.,,1891,1
Geo. Northwanger & Co.,Tyne Ports,1881,1
Geo. Nothwanger & Co.,Tyne Ports,1885,1
"Geo. Park, Dobson & Co.",Leith,1887,1
Geo. Pearson,Hull,1897,1
Geo. Pearson & Co.,Alloa,1891,1
Geo. Pearson & Co.,Alloa,1897,1
Geo. Pearson & Son,Alloa,1889,1
Geo. Pearson & Sons,Alloa,1891,1
Geo. Pyman,Hartlepool (West),1881,1
Geo. Pyman,Hartlepool (West),1897,1
Geo. Pyman,Hull,1891,1
Geo. Reid,,1899,1
Geo. Robertson,,1891,1
Geo. Robertson & Son,,1891,1
Geo. Rothwanger & Co.,Tyne Ports,1881,1
Geo. Shadbolt & Son,Bristol,1881,1
Geo. Simpson & Co.,MANCHESTER,1899,1
Geo. Stephen & Co.,Fraserburgh,1892,1
"Geo. Stephen, jun",Fraserburgh,1887,1
"Geo. Stephen, jun",Fraserburgh,1889,1
Geo. Stephens,Fraserburgh,1889,1
Geo. W. Betts,Weymouth,1889,1
Geo. Watson,Middlesbrough,1881,1
Geo. Watson,Middlesbrough,1897,1
Geo. Welch,Kirkcaldy,1899,1
Geo. Wilson & Co.,Leith,1887,1
George & Co.,Swansea,1893,1
George & Partington,MANCHESTER,1899,1
George Bedford,Swansea,1885,1
George Gibson & Co.,Leith,1892,1
George Gibson & Co.,Leith,1897,1
George Gillespie & Co.,Glasgow,1887,1
George Gordon & Co.,Aberdeen,1891,1
George Gordon & Co.,Aberdeen,1893,1
George Gordon & Co.,Aberdeen,1899,1
George Gordon & Co.,Alloa,1899,1
"George Hephin, jun",Fraserburgh,1887,1
George Hooper & Co.,Bridgwater,1889,1
"George Hooper & Co., Ltd.",,1899,1
George Horsley & Co.,Hartlepool (West),1889,1
George Horsley & Co.,Hull,1895,1
